subject_id,group,driving_experience_y,condition,brake_reaction_time_s,hr_mean_bpm,hr_sd_bpm,ibi_mean_ms,sdnn_ms,rmssd_ms,pnn50_pct,lf_power,hf_power,lf_hf_ratio,poincare_sd1_ms,poincare_sd2_ms,blink_count,blink_rate_per_min,blink_duration_mean_ms,fixation_count,fixation_duration_mean_ms,fixation_total_duration_s,fixation_time_ratio_pct,fixation_sample_count,saccade_count,saccade_duration_mean_ms,gap_count,pupil_diameter_mean_mm,pupil_diameter_sd_mm,gaze_velocity_mean_deg_s,gaze_velocity_max_deg_s,gaze_velocity_sd_deg_s,gaze_x_mean_pct,gaze_x_sd_pct,gaze_y_mean_pct,gaze_y_sd_pct
P47,YE,12,0-back,1.563,75.685,6.3,794.19,48.86445,49.248,36.4025,0.00965,0.01935,0.78245,34.90245,58.9101,118,39.595,109.265,460,223.99,100.4455,61.95,10208,1524.5,24.145,2354,4.6362,0.37835,38.71225,2906.66225,98.744,38.41,18.37,49.87,23.47
P47,YE,12,1-back,,76.245,,786.955,43.4498,49.08135,32.7127,0.0074,0.0099,0.6743,34.78545,50.6539,124,42.15,106.84,462.5,211.76,95.4215,58.61,,1607,24.99,,4.6602,0.43085,43.29235,2552.325,109.01305,,,,
P47,YE,12,2-back,1.938,78.51,3.82,764.255,55.52925,42.7726,12.80845,0.0067,0.00495,1.3338,30.29895,68.3283,121.5,41.765,114.67,418.5,207.555,86.4395,57.025,9594,1539,23.86,2462,4.72745,0.39495,43.1363,1505.4901,104.5146,45.35,20.53,42.47,19.77
P47,YE,12,baseline,1.785,75.03,13.67,799.69,59.93755,51.46895,36.95715,0.00655,0.0127,0.5521,36.47305,75.93675,106.5,35.74,103.44,445.5,222.265,99.2145,60.52,5424,1517.5,24.745,4239,4.54605,0.3921,40.5456,2094.8068,102.31605,25.96,45.02,7.9,25.94
P48,YN,1,0-back,1.78,44.53,14.46,1347.26,1413.2639,1438.5253,65.2542,0.0048,0.0006,7.3798,1021.5658,1726.8679,222,83.11,204.26,184,205.84,37.874,32.88,11518,739,30.42,1001,3.2035,0.3832,130.4574,1643.5208,236.3378,34.72,28.95,23.51,22.33
P48,YN,1,1-back,1.938,50.79,17.36,1181.37,695.591,535.8369,51.1111,0.0008,0.0006,1.3969,380.3147,910.7789,193,72.25,190.74,204,174.56,35.61,41.52,10459,694,30.42,716.5,3.4397,0.4534,100.1498,1588.265,196.8975,33.93,32.65,20.18,23.01
P48,YN,1,2-back,1.687,29.15,7.69,2058.67,2169.1237,2698.1591,88.3117,0.0217,0.0023,9.4497,1920.5625,2405.9481,212,79.37,192.17,199,191.97,38.202,25.74,974,936,26.39,375,3.5759,0.3213,139.6054,1625.3877,247.3241,38.89,28.45,19.21,25.5
P48,YN,1,baseline,1.563,63.58,7.25,943.73,303.3854,365.4936,43.4524,0.0262,0.0289,0.9064,259.2187,343.2052,152,56.9,197.93,206,242.27,49.907,53.01,3665,601,33.54,3630,3.3991,0.3505,86.5686,1603.3727,190.1236,0.49,5.07,0.82,7.71
P49,YN,1,0-back,1.78,54.69,14.46,1097.24,164.85815,122.01565,56.8984,0.02055,0.0134,1.48905,86.576,216.9493,214,75.115,182.745,109.5,155.945,17.0045,27.545,11518,567,26.35,1001,4.25445,0.42315,70.6029,1374.77435,139.76435,34.72,28.95,23.51,22.33
P49,YN,1,1-back,1.817,56.25,17.36,1067.35,249.621,205.6108,44.0976,0.012,0.0182,2.2813,145.90855,318.0188,181,65.2,175.465,109,167.685,18.123,27.92,13374,375,26.96,716.5,4.5996,0.36315,70.22165,1331.4641,145.7727,0.04,2.14,0.16,3.59
P49,YN,1,2-back,1.938,53.405,7.69,1129.275,360.5663,484.77895,53.7245,0.00645,0.008,0.7239,344.0428,373.83295,172.5,62.815,169.32,160.5,201.735,32.847,50.12,13954,532,26.675,4781,4.73905,0.34865,52.86985,1220.4079,121.1775,42.41,24.44,27.73,20.99
P49,YN,1,baseline,0.6875,53.105,7.25,1130.835,198.3629,209.2462,53.5144,0.0377,0.0516,0.73895,148.47035,238.68635,222.5,76.85,169.425,134.5,150.185,19.287,32.825,21066,675,26.12,2028,4.12725,0.40965,67.96805,1381.3771,138.41295,42.53,25.91,19.57,18.54
P50,YN,1,0-back,1.78,47.98,14.46,1250.6,93.8243,97.9144,58.8235,0.0397,0.0345,1.1506,69.4886,113.1299,241,84.38,158.45,162,162.01,26.246,31.69,11518,856,25.98,1001,4.2717,0.3522,74.7877,1496.0171,148.7534,34.72,28.95,23.51,22.33
P50,YN,1,1-back,1.891,54.63,17.36,1098.29,252.0472,271.6927,68.3871,0.0443,0.1009,0.4389,192.7395,300.7952,204,71.43,175.41,107,138.58,14.828,18.86,10459,613,24.93,716.5,4.4168,0.4659,90.509,1619.2144,176.972,33.93,32.65,20.18,23.01
P50,YN,1,2-back,1.982,57.22,7.69,1048.6,274.352,311.3558,70.9877,0.0419,0.0978,0.4279,220.8358,318.3541,192,67.23,172.24,126,167.61,21.119,30.91,364,716,24.6,116,4.5501,0.4204,65.7437,1160.7114,135.8747,52.42,26.57,27.72,15.03
P50,YN,1,baseline,1.489,49.61,7.25,1209.48,144.4357,115.3952,56.7376,0.0194,0.0153,1.2651,81.8815,182.5476,204,71.43,158.47,128,191.29,24.485,39.3,640,839,25.39,143,4.3993,0.5183,70.1057,1709.3871,153.66,45.38,20.34,25.95,13.74
P51,EN,2,0-back,1.556,74.86,9.68,801.49,41.6371,31.4204,8.3333,,0.0275,,22.5277,53.9698,277,,,8681,,,,9193,235,,277,,,8.54,,,50.25,13.65,53.02,8.35
P51,EN,2,1-back,1.682,73.01,14.25,821.81,41.3903,39.1261,23.5294,,0.039,,28.0358,50.9903,4,,,971,,,,998,23,,4,,,8.28,,,48.42,3.02,52.54,1.69
P51,EN,2,2-back,1.938,72.43,21.16,828.41,48.0059,50.3802,32.3529,,0.045,,36.0643,54.9117,436,,,7990,,,,8918,492,,436,,,13.17,,,50.84,18.16,52.91,11.84
P51,EN,2,baseline,1.817,74.99,5.77,800.11,32.1976,31.2051,14.2857,,0.0391,,22.3862,40.1988,417,,,3121,,,,4207,669,,417,,,23.76,,,45.73,13.59,60.97,17.29
P52,EN,2,0-back,1.556,75.82,9.68,791.385,34.404,30.2385,10.458,0.02605,0.0316,0.804,21.4305,43.2562,48,,,931,,,,998,19,,48,,,7.63,,,47.12,11.08,51.68,10.09
P52,EN,2,1-back,1.682,74.655,14.25,803.995,36.703,28.84605,8.7257,0.039,0.02185,1.7499,20.4436,47.5121,2474,,,4618,,,,8686,1594,,2474,,,26.09,,,42.98,18.14,54.06,23.4
P52,EN,2,2-back,1.938,75.365,21.16,796.35,37.016,30.2741,5.477,0.0261,0.0068,3.8442,21.4524,46.8929,1,0.33,350,1,67,0.067,36.36,998,3,39,110,4.1508,0.1597,65.4634,142.1412,54.7676,48.13,22.66,49.76,16.76
P52,EN,2,baseline,1.9375,76.05,5.77,789.48,42.97835,28.47675,9.6104,0.024,0.01245,1.94895,20.18145,57.08755,2,0.77,100,17,256,4.352,78.6,16062,25,35.28,2272,2.8526,0.209,31.2575,723.5869,92.1522,45.98,14.39,61.4,19.83
